Wall time,Step,Value
1493069692.823595,42,0.1328125
1493069692.957289,45,0.1484375
1493069694.145198,71,0.265625
1493069695.187867,94,0.2421875
1493069698.538025,167,0.1796875
1493069701.366582,229,0.203125
1493069701.59293,234,0.328125
1493069702.536866,255,0.2265625
1493069703.346707,273,0.2734375
1493069704.913403,308,0.2265625
1493069705.000213,310,0.3046875
1493069705.369652,318,0.28125
1493069712.479533,474,0.265625
1493069715.312618,536,0.25
1493069717.296766,579,0.234375
1493069717.615117,586,0.2578125
1493069719.823923,634,0.25
1493069720.421119,647,0.203125
1493069723.49265,714,0.1953125
1493069723.856616,722,0.2578125
1493069727.510055,802,0.1875
1493069727.779006,808,0.234375
1493069729.086893,836,0.2734375
1493069735.202883,971,0.1796875
1493069741.22716,1014,0.3125
1493069743.599257,1066,0.203125
1493069745.317228,1104,0.3125
1493069748.819825,1180,0.25
1493069752.530618,1261,0.2265625
1493069755.019018,1316,0.2890625
1493069755.154009,1319,0.1953125
1493069755.793917,1333,0.2265625
1493069755.968151,1337,0.1875
1493069758.140753,1385,0.21875
1493069758.48438,1392,0.28125
1493069760.492025,1436,0.203125
1493069761.835649,1466,0.3125
1493069765.7048,1552,0.2421875
1493069767.132152,1584,0.203125
1493069771.901069,1691,0.234375
1493069773.816809,1734,0.296875
1493069773.95148,1737,0.296875
1493069778.795888,1844,0.3125
1493069780.306741,1877,0.3046875
1493069782.141141,1917,0.1875
1493069783.505936,1947,0.2734375
1493069791.545734,2036,0.3125
1493069794.259294,2096,0.28125
1493069798.376255,2187,0.1796875
1493069798.915554,2199,0.28125
1493069800.356421,2231,0.2421875
1493069801.769532,2262,0.2421875
1493069803.794733,2307,0.234375
1493069807.518551,2389,0.2265625
1493069809.657455,2436,0.2109375
1493069810.446122,2453,0.2265625
1493069810.542395,2455,0.296875
1493069810.772911,2460,0.265625
1493069811.908857,2485,0.234375
1493069811.954161,2486,0.28125
1493069812.497608,2498,0.328125
1493069812.721217,2503,0.2734375
1493069814.019634,2532,0.1953125
1493069820.969626,2685,0.2734375
1493069823.463917,2740,0.2265625
1493069833.744216,2967,0.2421875
1493069841.163425,3038,0.296875
1493069841.297716,3041,0.2890625
1493069846.760215,3161,0.1484375
1493069849.897111,3230,0.2265625
1493069850.627294,3246,0.203125
1493069850.67533,3247,0.2421875
1493069853.30504,3305,0.2109375
1493069861.215606,3480,0.2421875
1493069867.479251,3618,0.25
1493069867.567854,3620,0.3046875
1493069869.839537,3670,0.3828125
1493069873.095985,3741,0.1875
1493069876.388872,3814,0.28125
1493069876.708855,3821,0.296875
1493069881.57541,3928,0.3671875
1493069882.834028,3956,0.2578125
1493069890.413382,4036,0.25
1493069893.237065,4098,0.265625
1493069897.731902,4196,0.234375
1493069899.343062,4232,0.2890625
1493069903.223837,4317,0.25
1493069906.958162,4400,0.2734375
1493069911.159873,4492,0.25
1493069911.96612,4509,0.2265625
1493069912.910079,4530,0.15625
1493069918.946894,4664,0.2265625
1493069919.124374,4668,0.2265625
1493069919.481368,4676,0.21875
1493069924.618347,4788,0.1640625
1493069925.260453,4802,0.1953125
1493069926.990159,4840,0.2265625
1493069929.42431,4894,0.2421875
1493069932.911223,4971,0.203125
1493069940.560156,5050,0.2578125
1493069940.653618,5052,0.2734375
1493069943.095049,5106,0.3359375
1493069944.341336,5134,0.25
1493069953.868717,5345,0.2265625
1493069954.49981,5359,0.2421875
1493069957.384048,5420,0.21875
1493069963.172684,5549,0.2265625
1493069969.054632,5679,0.2265625
1493069971.062267,5723,0.28125
1493069974.872656,5808,0.2734375
1493069977.409492,5864,0.25
1493069977.724908,5871,0.1875
1493069979.36349,5907,0.21875
1493069983.175479,5990,0.2578125
1493069993.633254,6131,0.21875
1493069996.792506,6200,0.234375
1493069997.652804,6219,0.2734375
1493070000.855303,6289,0.265625
1493070001.919188,6312,0.28125
1493070004.814158,6376,0.2578125
1493070011.300901,6520,0.2578125
1493070013.781353,6574,0.1953125
1493070015.134792,6603,0.2109375
1493070019.489914,6696,0.3125
1493070019.623155,6699,0.2109375
1493070020.178101,6711,0.3125
1493070027.093187,6854,0.2265625
1493070032.429489,6966,0.2890625
1493070033.588804,6992,0.328125
1493070043.709646,7114,0.234375
1493070045.659145,7155,0.3203125
1493070052.736311,7311,0.2421875
1493070055.922694,7382,0.2734375
1493070059.149447,7450,0.234375
1493070059.61116,7460,0.296875
1493070059.743689,7463,0.28125
1493070060.438884,7478,0.21875
1493070061.919252,7511,0.1953125
1493070069.904902,7693,0.3203125
1493070074.015282,7788,0.296875
1493070074.444746,7798,0.25
1493070075.941189,7833,0.2421875
1493070082.776139,7991,0.234375
1493070089.935091,8066,0.3046875
1493070094.907114,8180,0.3125
1493070096.734924,8221,0.234375
1493070102.892462,8363,0.28125
1493070103.112321,8368,0.2265625
1493070103.503101,8377,0.28125
1493070107.510967,8470,0.2578125
1493070108.713475,8498,0.25
1493070109.146209,8508,0.265625
1493070113.151378,8601,0.21875
1493070114.624249,8635,0.25
1493070117.307662,8695,0.234375
1493070125.329871,8878,0.296875
1493070126.588478,8907,0.234375
1493070127.515735,8928,0.2734375
1493070127.815928,8935,0.296875
1493070130.467513,8993,0.265625
1493070137.41777,9055,0.28125
1493070146.284515,9260,0.203125
1493070148.694346,9316,0.21875
1493070150.098029,9348,0.203125
1493070153.869936,9435,0.25
1493070155.29997,9468,0.25
1493070159.021205,9554,0.2265625
1493070159.58186,9567,0.171875
1493070163.473139,9657,0.2734375
1493070164.457563,9680,0.25
1493070165.256666,9698,0.203125
1493070171.501165,9843,0.234375
1493070174.256944,9907,0.265625
1493070185.600882,10058,0.2578125
1493070186.917592,10084,0.3125
1493070196.459291,10276,0.2109375
1493070196.762209,10283,0.25
1493070201.916554,10399,0.21875
1493070205.534122,10479,0.21875
1493070207.468796,10522,0.21875
1493070211.23116,10607,0.203125
1493070212.669843,10638,0.21875
1493070213.397972,10654,0.2578125
1493070215.982974,10711,0.3125
1493070218.072915,10757,0.265625
1493070218.115209,10758,0.25
1493070219.04141,10780,0.234375
1493070221.840998,10841,0.2734375
1493070222.258111,10850,0.21875
1493070224.683709,10902,0.2734375
1493070224.81852,10905,0.296875
1493070226.55572,10943,0.2734375
1493070227.647964,10966,0.25
1493070227.904539,10972,0.2890625
1493070227.994687,10974,0.171875
1493070234.211021,11020,0.265625
1493070237.851706,11102,0.2421875
1493070238.731031,11121,0.234375
1493070239.15562,11130,0.2421875
1493070242.151128,11198,0.28125
1493070242.24136,11200,0.296875
1493070245.000541,11260,0.21875
1493070252.427697,11419,0.3125
1493070255.106011,11472,0.234375
1493070256.261388,11492,0.1953125
1493070257.779258,11523,0.21875
1493070258.178523,11532,0.1875
1493070259.792861,11566,0.25
1493070263.843348,11648,0.2578125
1493070265.740484,11685,0.21875
1493070269.121332,11759,0.28125
1493070274.363182,11873,0.203125
1493070278.764637,11969,0.2265625
1493070278.988569,11974,0.203125
1493070285.227945,12010,0.203125
1493070286.652551,12041,0.2734375
1493070291.064727,12138,0.2734375
1493070292.267821,12164,0.1953125
1493070293.197653,12184,0.2734375
1493070298.064282,12290,0.296875
1493070303.6505,12405,0.2578125
1493070306.069394,12458,0.3046875
1493070315.735377,12671,0.265625
1493070324.988286,12877,0.2578125
1493070327.658292,12939,0.25
1493070335.177721,13017,0.28125
1493070335.915159,13034,0.2890625
1493070337.080746,13061,0.2421875
1493070338.001345,13082,0.1640625
1493070338.525589,13094,0.21875
1493070339.18091,13109,0.28125
1493070344.774247,13239,0.28125
1493070352.21181,13402,0.2421875
1493070352.396967,13406,0.2265625
1493070356.807574,13504,0.25
1493070358.716678,13546,0.2734375
1493070361.036056,13597,0.2578125
1493070362.092182,13620,0.2734375
1493070364.762575,13679,0.2578125
1493070370.690945,13810,0.234375
1493070374.06677,13884,0.2265625
1493070387.003616,14080,0.2265625
1493070393.383872,14221,0.21875
1493070396.361279,14287,0.2734375
1493070396.687345,14294,0.2109375
1493070397.856122,14320,0.265625
1493070398.663592,14338,0.2421875
1493070401.34358,14397,0.2734375
1493070403.606783,14447,0.2578125
1493070412.024861,14632,0.296875
1493070412.291686,14638,0.2578125
1493070413.875848,14668,0.3125
1493070414.350319,14677,0.2890625
1493070414.908757,14687,0.2578125
1493070419.554695,14779,0.265625
1493070419.969579,14788,0.34375
1493070420.946039,14809,0.3125
1493070423.93701,14873,0.265625
1493070424.830772,14892,0.265625
1493070438.596028,15090,0.2109375
1493070442.746878,15180,0.3046875
1493070446.713469,15266,0.296875
1493070449.35789,15324,0.203125
1493070456.228557,15473,0.25
1493070456.313498,15475,0.25
1493070457.689122,15507,0.21875
1493070459.225325,15538,0.2421875
1493070468.333055,15740,0.3359375
1493070469.437714,15764,0.21875
1493070469.833537,15773,0.234375
1493070472.3325,15828,0.2265625
1493070479.95675,15993,0.2734375
1493070488.865095,16095,0.21875
1493070489.846476,16116,0.2734375
1493070496.074416,16249,0.265625
1493070499.309677,16321,0.2265625
1493070500.350477,16343,0.3125
1493070501.1128,16360,0.2421875
1493070503.158115,16406,0.3984375
1493070507.550501,16505,0.2734375
1493070516.161175,16697,0.2734375
1493070521.033209,16808,0.359375
1493070521.075016,16809,0.265625
1493070523.189326,16857,0.21875
1493070525.120602,16899,0.3046875
1493070537.533424,17066,0.3046875
1493070539.008462,17097,0.296875
1493070540.527434,17131,0.2578125
1493070545.603449,17239,0.21875
1493070547.132972,17272,0.2265625
1493070548.143397,17292,0.28125
1493070549.264475,17316,0.2421875
1493070549.311071,17317,0.296875
1493070549.448109,17320,0.2890625
1493070550.281895,17339,0.2421875
1493070553.34955,17405,0.25
1493070555.194096,17444,0.265625
1493070555.6566,17454,0.21875
1493070559.841543,17543,0.203125
1493070560.469703,17557,0.265625
1493070561.809096,17586,0.2421875
1493070562.174036,17594,0.2265625
1493070563.456765,17623,0.25
1493070567.850228,17722,0.2421875
1493070578.244164,17953,0.2265625
1493070579.492481,17981,0.296875
1493070585.167556,18018,0.2578125
1493070586.736351,18053,0.296875
1493070587.263597,18065,0.1484375
1493070590.128997,18129,0.234375
1493070596.155438,18264,0.265625
1493070598.563676,18318,0.25
1493070604.414018,18451,0.296875
1493070604.456796,18452,0.28125
1493070610.810431,18592,0.2265625
1493070616.186624,18713,0.3359375
1493070616.497366,18720,0.265625
1493070622.117158,18845,0.2265625
1493070627.704741,18958,0.21875
1493070634.521781,19005,0.3125
1493070636.586819,19048,0.2734375
1493070639.723156,19116,0.234375
1493070642.101287,19169,0.2421875
1493070646.971176,19271,0.2109375
1493070658.664908,19525,0.3359375
1493070658.944439,19531,0.296875
1493070663.883909,19640,0.25
1493070664.510586,19654,0.21875
1493070667.866555,19731,0.3046875
1493070668.125134,19737,0.3203125
1493070671.866272,19823,0.28125
1493070672.86986,19846,0.2578125
1493070675.88327,19916,0.25
1493070676.826346,19938,0.25
1493070678.28651,19971,0.265625
1493070679.321693,19995,0.3828125
1493070685.140946,20035,0.328125
1493070685.958125,20053,0.2578125
1493070686.224568,20059,0.28125
1493070686.356422,20062,0.203125
1493070689.666259,20138,0.171875
1493070689.708996,20139,0.2421875
1493070691.787333,20186,0.2421875
1493070693.152395,20217,0.234375
1493070694.329167,20244,0.2890625
1493070694.46132,20247,0.2734375
1493070694.692285,20252,0.234375
1493070697.973527,20323,0.1875
1493070698.494747,20334,0.2421875
1493070700.640863,20383,0.265625
1493070703.135733,20440,0.265625
1493070705.071421,20485,0.3515625
1493070706.83993,20526,0.2890625
1493070707.410537,20539,0.2890625
1493070707.452837,20540,0.296875
1493070708.394576,20562,0.234375
1493070709.079829,20578,0.2109375
1493070713.924393,20689,0.203125
1493070714.832838,20710,0.25
1493070717.880801,20779,0.3359375
1493070718.019239,20782,0.2890625
1493070718.063231,20783,0.3125
1493070720.160948,20831,0.25
1493070721.261146,20855,0.3125
1493070726.980799,20987,0.234375
1493070734.902295,21080,0.1953125
1493070737.68676,21144,0.34375
1493070740.484605,21209,0.2734375
1493070741.466297,21232,0.3046875
1493070745.081117,21316,0.2109375
1493070745.210299,21319,0.28125
1493070745.421567,21324,0.234375
1493070748.366721,21391,0.1875
1493070749.184603,21409,0.234375
1493070752.408263,21484,0.3046875
1493070754.115932,21523,0.25
1493070760.978164,21681,0.265625
1493070762.852163,21724,0.265625
